country,gdp_nominal_coverage,gdp_real_coverage,gdp_real_growth_coverage,gdp_deflator_inflation_coverage,debt_gdp_coverage,primary_balance_gdp_coverage,interest_paid_nominal_coverage,policy_rate_nominal_coverage,yield_10y_nominal_coverage,m2_nominal_coverage,private_savings_gdp_coverage,investment_total_nominal_coverage,investment_sensitive_nominal_coverage,natural_rate_hlw_coverage,natural_rate_lm_coverage,natural_rate_favar_coverage,natural_rate_hp_coverage,natural_rate_gdp_trend_coverage
Argentina,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Australia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
Brazil,1.0,1.0,1.0,1.0,0.8064516129032258,0.7741935483870968,0.7741935483870968,1.0,0.9032258064516129,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Canada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
China,1.0,1.0,1.0,1.0,0.967741935483871,1.0,1.0,0.9354838709677419,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9354838709677419,0.967741935483871,1.0
Euro Area,1.0,1.0,0.967741935483871,1.0,0.967741935483871,0.967741935483871,0.967741935483871,0.8387096774193549,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8387096774193549,0.8709677419354839,0.967741935483871
Global Aggregate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Greece,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.967741935483871,0.967741935483871,0.967741935483871,1.0,0.0,1.0,1.0,1.0
India,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Indonesia,1.0,1.0,1.0,1.0,0.8064516129032258,1.0,1.0,0.6451612903225806,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6451612903225806,0.6774193548387096,1.0
Ireland,1.0,1.0,1.0,1.0,0.967741935483871,0.967741935483871,0.967741935483871,0.8387096774193549,0.967741935483871,0.0,0.6451612903225806,0.967741935483871,0.967741935483871,1.0,0.0,0.9354838709677419,0.8709677419354839,1.0
Italy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.967741935483871,0.967741935483871,1.0,0.0,1.0,1.0,1.0
Japan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8064516129032258,1.0,1.0,0.9354838709677419,1.0,1.0,0.0,0.0,1.0,0.9354838709677419,1.0
Lebanon,1.0,0.967741935483871,1.0,0.967741935483871,0.8064516129032258,1.0,1.0,0.0,0.967741935483871,1.0,0.7096774193548387,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mexico,1.0,1.0,1.0,1.0,0.9354838709677419,1.0,1.0,0.8709677419354839,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9354838709677419,0.9032258064516129,1.0
Portugal,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.967741935483871,0.967741935483871,1.0,0.0,1.0,1.0,1.0
Saudi Arabia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8064516129032258,1.0,0.7741935483870968,1.0,0.0,0.0,0.0,0.0,0.8064516129032258,0.8387096774193549,1.0
South Korea,1.0,1.0,1.0,1.0,1.0,0.967741935483871,0.967741935483871,0.8387096774193549,0.967741935483871,1.0,1.0,1.0,0.0,0.0,0.0,0.9354838709677419,0.8709677419354839,1.0
Spain,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.967741935483871,0.967741935483871,1.0,0.0,1.0,1.0,1.0
Turkey,1.0,1.0,1.0,1.0,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.7419354838709677,0.8064516129032258,1.0,1.0,0.0,0.0,0.0,0.0,0.7419354838709677,0.7741935483870968,1.0
United Kingdom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9032258064516129,0.9032258064516129,0.0,0.0,1.0,1.0,1.0
United States,1.0,1.0,1.0,1.0,0.7741935483870968,0.7741935483870968,0.7741935483870968,1.0,1.0,1.0,1.0,0.967741935483871,0.967741935483871,1.0,1.0,1.0,1.0,1.0
