FREQ,EER_TYPE,EER_BASKET,REF_AREA,UNIT_MEASURE,TIME_FORMAT,COLLECTION,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1994-01,102.46,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1994-02,101.61,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1994-03,100.51,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1994-04,100.54,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1994-05,99.5,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1994-06,98.62,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1994-07,96.5,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1994-08,96.13,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1994-09,95.26,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1994-10,94.31,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1994-11,94.7,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1994-12,95.53,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1995-01,98.59,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1995-02,97.83,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1995-03,94.66,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1995-04,92.48,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1995-05,92.72,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1995-06,92.2,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1995-07,92.53,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1995-08,94.47,A,F,
