STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_HORIZ,Time horizon,METHODOLOGY,Calculation methodology,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,1994,,8.175834,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,1995,,8.729167,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,1996,,7.2325,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,1997,,5.958333,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,1998,,4.703333,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,1999,,4.655141,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2000,,5.438877,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2001,,5.027296,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2002,,4.9229,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2003,,4.160853,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2004,,4.140792,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2005,,3.440875,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2006,,3.859515,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2007,,4.331703,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2008,,4.356012,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2009,,4.028616,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2010,,3.781404,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2011,,4.307952,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2012,,3.047651,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2013,,3.011776,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2014,,2.28135,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2015,,1.267475,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2016,,0.9285654,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2017,,1.170734,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2018,,1.264053,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2019,,0.5846146,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2020,,0.2135828,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2021,,0.1997003,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2022,,2.04145,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2023,,3.265134,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_FINMARK(4.0),Financial market,I,EA20,Euro area (20 countries),A,Annual,IRLT,Long-term interest rates,PA,Percent per annum,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,N,National,2024,,2.975305,,A,Normal value,0,Units,2,Two,,
