country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
Argentina,2025,0.0,1.5002032084752956,6.668060361515468,12.028100150558114,16.97719993138328,0.0,80.0
Argentina,2026,17.35545132670234,18.19981717976003,19.42824809781083,21.31249249810969,23.426208028994093,0.0,80.0
Argentina,2027,23.98595641480081,25.46777478764566,27.256698496891275,29.21360102832564,31.32299409491458,0.0,80.0
Argentina,2028,28.853363290759024,31.08899531122079,33.743498513172135,36.610623746696035,39.32457290966392,0.0,80.0
Argentina,2029,32.740643948034084,35.999244732969714,39.77401913164602,43.83403913789813,47.85812537450339,0.0,80.0
Argentina,2030,35.81304425144547,40.01889591913475,45.19318026073168,50.9150805556228,56.650800020565526,0.0007,80.0
Argentina,2031,38.53807464480968,43.61899733184137,50.25840785873673,57.71485319985449,65.35017545399751,0.0104,80.0
Argentina,2032,40.669326208510725,46.828934162492274,54.77906414615168,64.03560660481104,73.75551924032071,0.0536,80.0
Argentina,2033,42.15049590544431,49.11388623280722,58.55244083029443,69.46412210992163,81.67420507952035,0.1161,80.0
Argentina,2034,43.03681628397134,50.97876421289894,61.74451204012118,74.92497411135604,89.00372824797464,0.1822,80.0
