country,year,scenario,debt_gdp,domar_gap,isf_pct
Argentina,2025,baseline,25.91851253668978,-59.41548746331022,54.64387237122782
Argentina,2026,baseline,8.347090896530373,-17.571421640159407,17.59813064022759
Argentina,2027,baseline,3.1505525588297503,-5.196538337700623,6.642294448025665
Argentina,2028,baseline,1.6137383358146464,-1.5368142230151038,3.402236588152419
Argentina,2029,baseline,1.1592438622673638,-0.4544944735472827,2.444028127277604
Argentina,2030,baseline,1.0248325434550238,-0.13441131881233992,2.160649405600085
Argentina,2031,baseline,0.9850819993309863,-0.03975054412403767,2.076843529135301
Argentina,2032,baseline,0.9733262500970757,-0.01175574923391054,2.0520589409049146
Argentina,2033,baseline,0.9698496274974113,-0.003476622599664414,2.0447291945952037
Argentina,2034,baseline,0.9688214578367629,-0.001028169660648337,2.0425615095618554
Argentina,2025,choque_juros,27.62519253668978,-57.708807463310215,59.95503518485776
Argentina,2026,choque_juros,9.404324997997966,-18.220867538691817,20.41023371677712
Argentina,2027,choque_juros,3.6513034323794025,-5.753021565618564,7.924434389666361
Argentina,2028,choque_juros,1.8348555017750778,-1.8164479306043244,3.9821921972832905
Argentina,2029,choque_juros,1.2613337363926507,-0.5735217653824272,2.7374762526933365
Argentina,2030,choque_juros,1.080251080608544,-0.18108265578410665,2.3444720416101243
Argentina,2031,choque_juros,1.0230763922094732,-0.057174688399070694,2.2203856501724233
Argentina,2032,choque_juros,1.005024166393721,-0.018052225815752276,2.181206852322925
Argentina,2033,choque_juros,0.9993243914403657,-0.005699774953355274,2.1688366142722644
Argentina,2034,choque_juros,0.9975247554923958,-0.0017996359479697244,2.164930859174371
Argentina,2025,recessao,30.051862536689782,-55.28213746331022,63.35819382566654
Argentina,2026,recessao,12.320776415036173,-17.73108612165361,25.975832254440643
Argentina,2027,recessao,4.325722648180235,-7.995053766855937,9.119899761449785
Argentina,2028,recessao,1.961280870942923,-2.3644417772373116,4.1349588038366365
Argentina,2029,recessao,1.2620254211395332,-0.6992554498033898,2.660721981802482
Argentina,2030,recessao,1.0552289633933605,-0.20679645774617272,2.224734028099214
Argentina,2031,recessao,0.9940713779238604,-0.06115758546950012,2.0957957917634245
Argentina,2032,recessao,0.9759847515801436,-0.018086626343716716,2.0576638464925265
Argentina,2033,recessao,0.9706358475973276,-0.005348903982816067,2.0463867785609002
Argentina,2034,recessao,0.9690539730523644,-0.0015818745449631688,2.043051720246119
