country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
China,2025,88.92427306648713,90.05717630108427,91.26526140290227,92.48677201288895,93.57348348649411,1.0,80.0
China,2026,90.84021245391237,93.44410362957166,96.46379294580335,99.45964391184333,102.20381194037209,1.0,80.0
China,2027,91.75632453299383,96.84817950939627,102.62762323048915,108.35442331687166,113.92470118103415,0.9979,80.0
China,2028,91.39830946018239,99.30898044068441,108.40434761161508,118.05795182966901,127.2528460367682,0.9859,80.0
China,2029,89.71446692102782,100.70080415254004,113.51784150267298,128.3517681079272,141.78455056051317,0.9665,80.0
China,2030,86.98983273486456,101.34781010780043,118.86822746854679,139.27771015331683,159.62929388702722,0.9432,80.0
China,2031,83.54283629724225,101.86048131883678,123.99746728666335,151.7827186516143,181.52967143031128,0.9203,80.0
China,2032,80.17782223187038,101.66396182834534,129.48031026110772,167.39442554758116,210.57289839090825,0.9013,80.0
China,2033,76.36035450481728,101.9036833707849,136.4205211927149,186.85094025054622,249.75412161765962,0.8833,80.0
China,2034,72.58534114924421,101.99515254808071,144.60232989276304,212.4226870873126,309.8058748796291,0.8685,80.0
