country,year,scenario,debt_gdp,domar_gap,isf_pct
China,2025,baseline,91.35722440718393,3.0302244071839377,4.236652607815541
China,2026,baseline,94.27890952264276,2.9216851154588244,4.372144518213939
China,2027,baseline,97.0959431039367,2.8170335812939302,4.502783258017361
China,2028,baseline,99.81207365344375,2.716130549507036,4.62874266243674
China,2029,baseline,102.4309154063265,2.61884175288276,4.7501903400977366
China,2030,baseline,104.9559531398356,2.52503773350909,4.867287896070144
China,2031,baseline,107.39054681034906,2.4345936705134528,4.980191146908629
China,2032,baseline,109.73793602431815,2.347389213969078,5.089050327990954
China,2033,baseline,112.00124434906881,2.2633083247506622,5.1940102934295656
China,2034,baseline,114.18348346919504,2.182239120126215,5.29521070882258
China,2025,choque_juros,93.12376440718394,4.796764407183938,11.592732659690508
China,2026,choque_juros,97.84464929893014,4.720884891746182,12.180423211243895
China,2027,choque_juros,102.49085500537245,4.646205706442307,12.758817147309468
China,2028,choque_juros,107.06356286874768,4.572707863375223,13.328061530077184
China,2029,choque_juros,111.5639355437631,4.500372675015403,13.888301095375569
China,2030,choque_juros,115.9931172932125,4.4291817494494,14.439678289472186
China,2031,choque_juros,120.35223427891604,4.3591169857035235,14.982333305291956
China,2032,choque_juros,124.64239484805755,4.290160569141498,15.516404118062562
China,2033,choque_juros,128.86468981499246,4.222294966934919,16.042026520395957
China,2034,choque_juros,133.0201927385978,4.155502923605364,16.55933415681495
China,2025,recessao,95.56539940718395,7.238399407183937,4.431804942002395
China,2026,recessao,102.72548732677582,7.160087919591871,4.763850988208043
China,2027,recessao,105.2399738194158,2.5144864926399735,4.88045923485178
China,2028,recessao,107.66439418285542,2.4244203634396153,4.99289070288136
China,2029,recessao,110.00197448637478,2.3375803035193585,5.101294999893965
China,2030,recessao,112.2558252450152,2.253850758640419,5.205816374707866
China,2031,recessao,114.42894555860444,2.1731203135892274,5.306593909307974
China,2032,recessao,116.52422710252657,2.0952815439221224,5.403761703916097
China,2033,recessao,118.54445797554695,2.020230873020373,5.4974490554322
China,2034,recessao,120.49232640981229,1.9478684342653452,5.587780629484081
