country,domar_threshold,isf_threshold,status_prelim,status_final,is_baseline_rule
Argentina,0.0,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Argentina,0.0,20.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Argentina,0.0,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Argentina,0.5,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Argentina,0.5,20.0,INSUSTENTAVEL,INSUSTENTAVEL,True
Argentina,0.5,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Argentina,1.0,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Argentina,1.0,20.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Argentina,1.0,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Australia,0.0,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Australia,0.0,20.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Australia,0.0,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Australia,0.5,18.0,LIMIAR,LIMIAR,False
Australia,0.5,20.0,LIMIAR,LIMIAR,True
Australia,0.5,25.0,LIMIAR,LIMIAR,False
Australia,1.0,18.0,LIMIAR,LIMIAR,False
Australia,1.0,20.0,LIMIAR,LIMIAR,False
Australia,1.0,25.0,LIMIAR,LIMIAR,False
Brazil,0.0,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Brazil,0.0,20.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Brazil,0.0,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Brazil,0.5,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Brazil,0.5,20.0,INSUSTENTAVEL,INSUSTENTAVEL,True
Brazil,0.5,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Brazil,1.0,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Brazil,1.0,20.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Brazil,1.0,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Canada,0.0,18.0,LIMIAR,LIMIAR,False
Canada,0.0,20.0,LIMIAR,LIMIAR,False
Canada,0.0,25.0,LIMIAR,LIMIAR,False
Canada,0.5,18.0,LIMIAR,LIMIAR,False
Canada,0.5,20.0,LIMIAR,LIMIAR,True
Canada,0.5,25.0,LIMIAR,LIMIAR,False
Canada,1.0,18.0,LIMIAR,LIMIAR,False
Canada,1.0,20.0,LIMIAR,LIMIAR,False
Canada,1.0,25.0,LIMIAR,LIMIAR,False
China,0.0,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
China,0.0,20.0,INSUSTENTAVEL,INSUSTENTAVEL,False
China,0.0,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
China,0.5,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
China,0.5,20.0,INSUSTENTAVEL,INSUSTENTAVEL,True
China,0.5,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
China,1.0,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
China,1.0,20.0,INSUSTENTAVEL,INSUSTENTAVEL,False
China,1.0,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Euro Area,0.0,18.0,LIMIAR,LIMIAR,False
Euro Area,0.0,20.0,LIMIAR,LIMIAR,False
Euro Area,0.0,25.0,LIMIAR,LIMIAR,False
Euro Area,0.5,18.0,LIMIAR,LIMIAR,False
Euro Area,0.5,20.0,LIMIAR,LIMIAR,True
Euro Area,0.5,25.0,LIMIAR,LIMIAR,False
Euro Area,1.0,18.0,LIMIAR,LIMIAR,False
Euro Area,1.0,20.0,LIMIAR,LIMIAR,False
Euro Area,1.0,25.0,LIMIAR,LIMIAR,False
Global Aggregate,0.0,18.0,LIMIAR,LIMIAR,False
Global Aggregate,0.0,20.0,LIMIAR,LIMIAR,False
Global Aggregate,0.0,25.0,LIMIAR,LIMIAR,False
Global Aggregate,0.5,18.0,LIMIAR,LIMIAR,False
Global Aggregate,0.5,20.0,LIMIAR,LIMIAR,True
Global Aggregate,0.5,25.0,LIMIAR,LIMIAR,False
Global Aggregate,1.0,18.0,LIMIAR,LIMIAR,False
Global Aggregate,1.0,20.0,LIMIAR,LIMIAR,False
Global Aggregate,1.0,25.0,LIMIAR,LIMIAR,False
Greece,0.0,18.0,LIMIAR,INSUSTENTAVEL,False
Greece,0.0,20.0,LIMIAR,INSUSTENTAVEL,False
Greece,0.0,25.0,LIMIAR,INSUSTENTAVEL,False
Greece,0.5,18.0,LIMIAR,INSUSTENTAVEL,False
Greece,0.5,20.0,LIMIAR,INSUSTENTAVEL,True
Greece,0.5,25.0,LIMIAR,INSUSTENTAVEL,False
Greece,1.0,18.0,LIMIAR,INSUSTENTAVEL,False
Greece,1.0,20.0,LIMIAR,INSUSTENTAVEL,False
Greece,1.0,25.0,LIMIAR,INSUSTENTAVEL,False
