country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
Euro Area,2025,87.28042914043726,88.19791868392322,89.24285404194879,90.31051374737886,91.2454373401193,0.0,120.0
Euro Area,2026,85.34864376653464,87.12798657074191,89.29671477320443,91.4610749040618,93.35051193742811,0.0,120.0
Euro Area,2027,82.40246287431285,85.12391038858367,88.2543129954278,91.48853097094894,94.37582051015269,0.0,120.0
Euro Area,2028,79.0712948389414,82.70581816820206,86.64588598704121,90.83567966055402,94.6626115509008,0.0,120.0
Euro Area,2029,75.71785954218353,79.91841079353583,84.70233167679687,89.81550741232496,94.46000963404109,0.0,120.0
Euro Area,2030,72.20653452793617,77.14546230225635,82.62128209404555,88.40314857511007,93.97207364180358,0.0,120.0
Euro Area,2031,68.5123460859424,74.1020009521755,80.33383967175382,86.78341171532226,93.15187315653337,0.0,120.0
Euro Area,2032,65.00717140300253,71.05907282924137,77.96265314157142,85.06231911559908,91.94578267852008,0.0002,120.0
Euro Area,2033,61.53754521446227,67.98037147710686,75.58007744559355,83.30228765952296,90.75764715799457,0.0003,120.0
Euro Area,2034,58.1799698714586,64.82021463116179,72.9988007168875,81.38974196200228,89.24879333713574,0.0004,120.0
