country,year,scenario,debt_gdp,domar_gap,isf_pct
Euro Area,2025,baseline,84.90522994195835,-2.19477005804164,5.05154949639925
Euro Area,2026,baseline,82.8052416140959,-2.0999883278624436,4.9266078999003104
Euro Area,2027,baseline,80.79594184212186,-2.0092997719740326,4.807061939561127
Euro Area,2028,baseline,78.87341421656862,-1.9225276255532384,4.692678603395427
Euro Area,2029,baseline,77.0339114591557,-1.8395027574129144,4.583234942101693
Euro Area,2030,baseline,75.27384811881437,-1.7600633403413284,4.4785176345034445
Euro Area,2031,baseline,73.58979358313633,-1.684054535678037,4.378322571756088
Euro Area,2032,baseline,71.97846539162488,-1.6113281915114357,4.282454459509905
Euro Area,2033,baseline,70.43672283771515,-1.5417425539097251,4.190726437253749
Euro Area,2034,baseline,68.9615608470927,-1.4751619906224505,4.102959714097469
Euro Area,2025,choque_juros,86.64722994195834,-0.4527700580416407,8.889986495607223
Euro Area,2026,choque_juros,86.2049574784409,-0.4422724635174433,8.84460943934492
Euro Area,2027,choque_juros,85.7729392199195,-0.43201825852141185,8.800284462231586
Euro Area,2028,choque_juros,85.35093741991706,-0.4220018000024375,8.756987171531621
Euro Area,2029,choque_juros,84.938719844172,-0.41221757574505613,8.714693740061508
Euro Area,2030,choque_juros,84.53605964283601,-0.40266020133598834,8.673380893077324
Euro Area,2031,choque_juros,84.142735225635,-0.3933244172010131,8.6330258954663
Euro Area,2032,choque_juros,83.75853013992445,-0.3842050857105397,8.593606539235312
Euro Area,2033,choque_juros,83.38323295157215,-0.37529718835228976,8.555101131289483
Euro Area,2034,choque_juros,83.01663712860262,-0.36659582296952986,8.51748848149412
Euro Area,2025,recessao,89.08272994195835,1.9827299419583593,5.3000954108927845
Euro Area,2026,recessao,91.02940341123879,1.9466734692804417,5.415915336121415
Euro Area,2027,recessao,88.66494101913024,-2.364462392108549,5.275238503678043
Euro Area,2028,recessao,86.40258856589503,-2.2623524532351986,5.140636837754395
Euro Area,2029,recessao,84.2379364065959,-2.1646521592991155,5.011847980664412
Euro Area,2030,recessao,82.16676532798802,-2.071171078607877,4.8886209047086595
Euro Area,2031,recessao,80.18503832467553,-1.981727003312476,4.770715422885838
Euro Area,2032,recessao,78.28889273041707,-1.8961455942584495,4.657901720734348
Euro Area,2033,recessao,76.47463268924287,-1.814260041174206,4.549959908391386
Euro Area,2034,recessao,74.73872195170865,-1.7359107375342118,4.446679591996512
