country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
Global Aggregate,2025,93.19380846870088,94.23927056499943,95.3793985934264,96.55716965286207,97.59063006104643,0.0,120.0
Global Aggregate,2026,87.76607911857214,89.69110921391874,91.89077863111287,94.0569102455712,95.98940239408356,0.0,120.0
Global Aggregate,2027,81.54565813450007,84.18394490093317,87.18969678880245,90.2178278531809,92.99986284892783,0.0,120.0
Global Aggregate,2028,74.17229404846238,77.61705858015009,81.38080931590912,85.15866344339153,88.64911685514205,0.0,120.0
Global Aggregate,2029,66.53477207272748,70.49450249540074,75.07325815271938,79.48555125244312,83.80332419886085,0.0,120.0
Global Aggregate,2030,58.58376215043593,63.1715401625151,68.4362538767269,73.64090049560467,78.69999282453344,0.0,120.0
Global Aggregate,2031,50.46876252448128,55.494190606059824,61.34664840664614,67.2864383686459,72.84219354224899,0.0,120.0
Global Aggregate,2032,42.07125088661057,47.50287937895666,53.88959731781637,60.408417013944415,66.48901752528968,0.0,120.0
Global Aggregate,2033,33.44165529044435,39.34531507358812,45.95767601815154,52.963337632084354,59.62142028585405,0.0,120.0
Global Aggregate,2034,24.71988007212504,30.811635102374535,37.770096653218914,45.20109866938084,52.53663991885328,0.0,120.0
