country,year,scenario,debt_gdp,domar_gap,isf_pct
Global Aggregate,2025,baseline,92.83773507959192,-3.1078355871799874,10.327710723012068
Global Aggregate,2026,baseline,89.92669783383003,-2.9110372457618854,10.003873109434274
Global Aggregate,2027,baseline,87.1999970131144,-2.726700820715639,9.700541955562326
Global Aggregate,2028,baseline,84.64595983048623,-2.5540371826281665,9.416418725117436
Global Aggregate,2029,baseline,82.2536526581375,-2.39230717234874,9.150287109396494
Global Aggregate,2030,baseline,80.01283422142939,-2.2408184367081074,8.901007820352305
Global Aggregate,2031,baseline,77.91391175681915,-2.098922464610237,8.667513713393083
Global Aggregate,2032,baseline,75.94789994601068,-1.9660118108084697,8.44880521902226
Global Aggregate,2033,baseline,74.10638245052942,-1.8415174954812614,8.243946063761838
Global Aggregate,2034,baseline,72.3814758820541,-1.7249065684753142,8.052059262040922
Global Aggregate,2025,choque_juros,94.75664649292736,-1.1889241738445482,16.253960560765876
Global Aggregate,2026,choque_juros,93.6192304133289,-1.137416079598451,16.058855343525483
Global Aggregate,2027,choque_juros,92.53109092841483,-1.0881394849140844,15.872202724136656
Global Aggregate,2028,choque_juros,91.49009321450252,-1.0409977139123092,15.69363650834048
Global Aggregate,2029,choque_juros,90.49419493547241,-0.9958982790301172,15.52280636661424
Global Aggregate,2030,choque_juros,89.54144223590338,-0.9527526995690367,15.35937714685904
Global Aggregate,2031,choque_juros,88.62996590779875,-0.9114763281046261,15.203028216864036
Global Aggregate,2032,choque_juros,87.75797772338228,-0.871988184416467,15.053452835257247
Global Aggregate,2033,choque_juros,86.92376692676942,-0.8342107966128616,14.910357549708888
Global Aggregate,2034,choque_juros,86.12569687763089,-0.7980700491385275,14.773461621206453
Global Aggregate,2025,recessao,97.23637434626123,1.29080367948931,10.817036253003684
Global Aggregate,2026,recessao,98.47771019560709,1.2413358493458606,10.955128350480615
Global Aggregate,2027,recessao,95.20953122939844,-3.268178966208654,10.591560595137397
Global Aggregate,2028,recessao,92.14830407320846,-3.061227156189965,10.25101514237022
Global Aggregate,2029,recessao,89.2809238597356,-2.867380213472867,9.932034144479134
Global Aggregate,2030,recessao,86.59511556485272,-2.6858082948828685,9.633252069461514
Global Aggregate,2031,recessao,84.07938145921598,-2.515734105636731,9.353389855279351
Global Aggregate,2032,recessao,81.72295188740998,-2.3564295718059998,9.091249434297524
Global Aggregate,2033,recessao,79.51573916391891,-2.207212723491066,8.845708604452586
Global Aggregate,2034,recessao,77.44829438855605,-2.067444775362857,8.615716225195976
