country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
Greece,2025,139.67358745844805,141.2893151096787,143.14599957416266,144.96693175964455,146.56708526776245,1.0,80.0
Greece,2026,127.22651845121715,130.39816609338033,134.17111124752762,137.85461857642838,141.24916930973384,1.0,80.0
Greece,2027,116.2817150327337,121.19320942292634,126.97287138803858,132.73486367636224,138.07401302298229,1.0,80.0
Greece,2028,107.56925262850824,113.86522003174895,121.47480474337743,129.15512875386872,136.5652741698955,1.0,80.0
Greece,2029,100.92450141841161,108.47416400457104,117.4816705072665,127.07315369829912,136.18951237303872,0.9995,80.0
Greece,2030,96.01337258755481,104.23423038324233,114.57814768579648,125.98012881056326,136.47015814860532,0.9944,80.0
Greece,2031,92.26478801168827,101.51682124675953,112.90912456800336,125.90690423116746,137.73958405865062,0.9853,80.0
Greece,2032,89.65708655180082,99.80418179253103,112.1093866290685,126.05139211553117,139.4572794330896,0.9764,80.0
Greece,2033,88.31766360889439,98.56326061085065,111.85437440475488,126.55874792631484,141.62148512574979,0.9654,80.0
Greece,2034,87.2797681628808,98.2077234408393,112.03082809204008,127.51095975591195,143.42514975362013,0.9595,80.0
