country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
India,2025,77.79296297853989,79.14705629143769,80.66853876834259,82.17047013026027,83.52996627244839,0.6172,80.0
India,2026,73.95677952258278,76.48598162953611,79.31146905429428,82.09360864525036,84.55576699879855,0.432,80.0
India,2027,70.34155600708515,73.65462319211048,77.31925373554299,80.99797888442237,84.30950312315312,0.3098,80.0
India,2028,67.13877871483818,70.95163014818525,75.12281818700345,79.38744344593933,83.2938287655718,0.2169,80.0
India,2029,64.5858494675043,68.63166597487003,73.14940936450864,77.7555385382142,81.945394485178,0.1592,80.0
India,2030,62.969281128626264,67.08447517180502,71.69463428921908,76.51741403780363,80.65001863203285,0.119,80.0
India,2031,61.97323663242174,66.18877511234584,70.94425904553108,75.77216907275808,79.86267693346578,0.0964,80.0
India,2032,61.74017282365977,65.95110595964486,70.76462949533638,75.54422638868766,80.04684840418771,0.1019,80.0
India,2033,62.01458027374435,66.24518288387844,71.0695244553849,75.99870664331345,80.65684755325346,0.1131,80.0
India,2034,62.435480499611586,66.80434664310735,71.82591663363874,76.87351204473637,81.57818200924123,0.1393,80.0
