country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
Indonesia,2025,37.743791065690594,38.71559517635485,39.8025934047743,40.8581730774342,41.79637205080094,0.0,80.0
Indonesia,2026,34.97514709260413,36.16889467528701,37.546608964752096,38.92856659766433,40.17220010794509,0.0,80.0
Indonesia,2027,33.29170598841336,34.772725538835196,36.476076518010984,38.12697260425142,39.67111922378273,0.0,80.0
Indonesia,2028,27.778678619598082,29.527140579708014,31.443953199346268,33.409782259062844,35.24271944200983,0.0,80.0
Indonesia,2029,25.30564122738702,27.21395703415208,29.284794418762203,31.426547698480114,33.34598636637199,0.0,80.0
Indonesia,2030,20.335191215726944,22.397757459539022,24.615455566893658,26.83651682646878,28.908079138302234,0.0,80.0
Indonesia,2031,18.384435673527115,20.327121447588844,22.61324685983367,24.940980669063443,27.04100684334541,0.0,80.0
Indonesia,2032,16.26699381841602,18.186619020303088,20.42022004932931,22.77921856306593,24.896405621972388,0.0,80.0
Indonesia,2033,13.456914930648905,15.500026683262663,17.888731445073503,20.298785078398737,22.521869766345603,0.0,80.0
Indonesia,2034,11.83742399135196,14.062448922569349,16.506805955643912,19.115378769114336,21.482022920171918,0.0,80.0
