country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
Ireland,2025,38.137630325935966,41.017257241562206,44.04322046408146,47.05348486173531,49.85578527905293,0.0,120.0
Ireland,2026,38.24881296473291,43.15540973569277,48.804566446823095,54.57119404734734,59.75677391656039,0.0,120.0
Ireland,2027,37.68849103006264,44.88179148101561,53.02097867996495,61.489982865222586,69.48479650926029,0.0,120.0
Ireland,2028,36.851363027248524,45.6791189895901,56.12452946744128,67.36537415322908,77.62105284127186,0.0001,120.0
Ireland,2029,35.6655124993356,46.24292076531361,58.16339791785435,71.40438453945472,83.43989804115876,0.001,120.0
Ireland,2030,34.41121654625773,46.0122146083406,59.32043138339682,73.98999625138373,87.04296490554819,0.0027,120.0
Ireland,2031,33.285167277050796,45.734202996286534,60.122007180362786,75.57465720801412,89.49094739261228,0.0062,120.0
Ireland,2032,32.024900368622056,45.13665431179263,60.22455728707096,75.95814440188784,90.45287200252073,0.0075,120.0
Ireland,2033,30.766664637518645,44.096854952560605,59.692845877663885,75.65324622574987,90.82194570689309,0.0073,120.0
Ireland,2034,29.60129745729428,43.52044531520875,58.99131893978021,75.07147561846148,90.38623712729765,0.0081,120.0
