country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
Italy,2025,133.98702574171693,135.06776604951665,136.27210895811695,137.51802602040854,138.61354109672928,1.0,120.0
Italy,2026,132.98672703748417,134.9334369048902,137.10351863276318,139.28881413224167,141.22189332529763,1.0,120.0
Italy,2027,132.1629647078232,134.78363414657997,137.7784412374454,140.76358196716038,143.40494925120024,1.0,120.0
Italy,2028,131.53921451385966,134.7844704806298,138.36927485073943,142.10959104904097,145.4071694606763,1.0,120.0
Italy,2029,131.02424275912213,134.75423337953055,139.00262526588557,143.40812011028171,147.32231794098897,0.9991,120.0
Italy,2030,130.7230655682015,134.87658360617237,139.71982411912134,144.6614117583865,149.20032287742512,0.9976,120.0
Italy,2031,130.50557531908265,135.1586036649157,140.5395164806668,146.00709813240883,150.9250624141427,0.9956,120.0
Italy,2032,130.25953336172438,135.40972839494577,141.40668181113537,147.2703958227391,152.6910720729255,0.9942,120.0
Italy,2033,130.2723687513816,135.75379737835874,142.20973314455307,148.6710609138941,154.45257282334953,0.9916,120.0
Italy,2034,130.326399483927,136.0809115979782,143.03158985765634,150.1593851590263,156.26027317428355,0.9901,120.0
