country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
Japan,2025,228.40539824226346,231.2485019587118,234.4454585071373,237.563255003771,240.22002183045666,1.0,120.0
Japan,2026,224.12417991556305,228.4366600813201,233.46482290677835,238.37378375358713,242.58563402567174,1.0,120.0
Japan,2027,220.6767391177006,226.55507733023248,233.14806213544693,239.51727317862552,245.4013372375639,1.0,120.0
Japan,2028,218.1332489238268,225.0264694665072,232.830458479747,240.88903483113455,247.8740809674967,1.0,120.0
Japan,2029,215.83693733595936,223.77255747930593,232.74884486454263,241.9081482217023,249.93304250311314,1.0,120.0
Japan,2030,213.90489703532586,222.7789333709114,232.94296180279173,242.55722231500252,251.54928814030163,1.0,120.0
Japan,2031,212.74780713432872,222.05813395054,232.92970620043388,243.29445409404767,252.63189831394365,1.0,120.0
Japan,2032,211.51887037376474,221.70589203156413,233.03949404423355,243.89080587461672,253.82372343547837,1.0,120.0
Japan,2033,210.40091702290562,221.11538470054796,232.9159535035551,244.57924411337657,254.9434241308239,1.0,120.0
Japan,2034,209.47784030826259,220.98901652918036,232.72182499871292,245.24592918121385,256.10828051549936,1.0,120.0
