country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
Lebanon,2025,219.79286486389142,223.50060884505882,227.33875058232513,231.19581989700092,234.65027335209396,1.0,80.0
Lebanon,2026,343.8285137821236,350.3913557942101,357.93243306216925,365.1304735660935,371.8086338246646,1.0,80.0
Lebanon,2027,390.9407172863273,400.03077571857284,410.43993628914995,421.23555207270385,430.8668621811336,1.0,80.0
Lebanon,2028,386.5791214668911,397.55456802818225,409.9657837517725,422.27021239533764,433.71171014385084,1.0,80.0
Lebanon,2029,464.0655676226387,478.1208022644764,493.4613450442238,509.09866457655784,523.4062019646155,1.0,80.0
Lebanon,2030,496.9817671461787,512.4063128348439,529.3967466304649,546.7243406040485,563.3451470604908,1.0,80.0
Lebanon,2031,566.2398590376495,585.114734255269,606.3010278540548,626.9598799445757,645.6522805291635,1.0,80.0
Lebanon,2032,637.6835641273822,658.9232132026865,682.3519116343709,706.3608370639736,727.5852878622371,1.0,80.0
Lebanon,2033,713.8156713752236,739.1703511610765,767.7665218063826,796.7803467083702,824.5105011473603,1.0,80.0
Lebanon,2034,792.532378528437,823.7101875693417,856.2826258508072,892.2706789353729,926.0390831324931,1.0,80.0
