country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
Mexico,2025,56.87220859527341,58.14542867147039,59.62041878170645,61.059040062003035,62.29989377106731,0.0,80.0
Mexico,2026,53.20474258212182,55.479001879217364,58.1517377127835,60.71666533757325,62.94040257815601,0.0,80.0
Mexico,2027,51.152243716703985,54.38849765035432,57.974753039057305,61.70308205771778,65.16135439870862,0.0001,80.0
Mexico,2028,49.22256764870961,53.18564212340799,57.7193749069275,62.55083629871906,67.00083760271481,0.0024,80.0
Mexico,2029,47.41119040410426,52.1028093949455,57.610068558667244,63.49362612272706,69.04004217523814,0.0095,80.0
Mexico,2030,45.82054215085663,51.20917358071692,57.66794252174874,64.55375435209021,71.54052610278674,0.025,80.0
Mexico,2031,44.41685349858534,50.337962429177324,57.72368455133993,65.8252880109354,73.95971613694256,0.0467,80.0
Mexico,2032,43.209775474109385,49.75902013966124,57.93973794407961,67.23468836338814,77.1555580701622,0.074,80.0
Mexico,2033,42.13333039003747,49.1049960398454,58.11475018856284,68.9207135683049,80.69982946263455,0.1072,80.0
Mexico,2034,41.07963214087595,48.44638836240655,58.40447459836122,70.5463285351139,85.05106185907171,0.1386,80.0
