country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
South Korea,2025,47.805113886961934,49.25447054798353,50.81504438372111,52.37154447206381,53.755023453385334,0.0,120.0
South Korea,2026,45.27596485296771,47.50390426956325,50.08923181098912,52.737194359055835,55.1833530628365,0.0,120.0
South Korea,2027,41.44975983816004,44.350701708773876,47.54793502358415,50.96353540834992,54.29781887514803,0.0,120.0
South Korea,2028,37.864016339133585,41.135220359780504,45.019315867066155,49.15405196463785,53.272796622933626,0.0,120.0
South Korea,2029,33.91349448638574,37.477843246540736,42.01807799384708,46.7720642439098,51.68809004107165,0.0,120.0
South Korea,2030,29.959844439000136,33.87680255862088,38.6945666032128,44.12407158929396,49.536644412352146,0.0,120.0
South Korea,2031,26.197722941137197,30.097903655407837,35.20747210072455,41.20565155487343,46.988564316518456,0.0,120.0
South Korea,2032,22.452520297445105,26.405773751971235,31.60673757397927,37.74152948734845,44.55936615198954,0.0,120.0
South Korea,2033,18.892521410370474,22.79546480070827,28.06521030816382,34.432901109815155,41.488234492487635,0.0,120.0
South Korea,2034,15.569480700132535,19.307669725304276,24.449559442580124,30.98486806415451,38.35410075446321,0.0,120.0
