country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
Turkey,2025,25.996425925662283,27.246701106319534,28.625227658851763,29.98343989784981,31.196759902145704,0.0,80.0
Turkey,2026,33.68918323013111,35.3224525707253,37.16453877872092,39.06218218353855,40.7609383161721,0.0,80.0
Turkey,2027,22.400259257929733,24.4639265889305,26.706681984147885,29.078414230708905,31.23673304918165,0.0,80.0
Turkey,2028,28.04554044938107,30.0428673275287,32.41048860060931,34.74434720265904,36.91618956043109,0.0,80.0
Turkey,2029,26.809080203780294,29.08381465741308,31.537283484697515,34.03361920978516,36.41231251193452,0.0,80.0
Turkey,2030,23.45778689634821,25.615296809287724,27.980178339394442,30.475933214904252,32.77803552662066,0.0,80.0
Turkey,2031,26.036332237233037,28.15849853871721,30.541062177862006,33.028531092270676,35.295277516329605,0.0,80.0
Turkey,2032,23.165540585548076,25.32552884650866,27.743441818342596,30.255513639107818,32.63742952539555,0.0,80.0
Turkey,2033,23.05474336861364,25.187048628694303,27.619415276321163,30.06223835163038,32.51839875808851,0.0,80.0
Turkey,2034,24.119561931622986,26.22210712618279,28.644022676535755,31.118452623193,33.410271097943316,0.0,80.0
