country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
United Kingdom,2025,99.91774181043513,100.92606787047681,102.11333717786076,103.34539668879228,104.43443505464252,0.0,120.0
United Kingdom,2026,97.88389757646185,99.63676284138165,101.72910009904618,103.88282126062937,105.77861087178226,0.0,120.0
United Kingdom,2027,95.94246132401932,98.572654694721,101.47114001413757,104.46666726642113,107.14585093405898,0.0001,120.0
United Kingdom,2028,94.21416951095821,97.49515153300952,101.23400150962962,105.11648272616972,108.57247377329561,0.0009,120.0
United Kingdom,2029,92.56310499217055,96.55491937810831,101.02396129117909,105.5368671841169,109.80213157123613,0.0036,120.0
United Kingdom,2030,91.03561447667067,95.65170347354739,100.77160768862447,106.02721875904035,110.93200178681391,0.0075,120.0
United Kingdom,2031,89.85654914495841,94.94012103824791,100.63604635326922,106.48280438066723,111.91344861062063,0.0122,120.0
United Kingdom,2032,88.6992037205612,94.31526265777082,100.42811604850425,106.86214108192989,112.84662480727901,0.0203,120.0
United Kingdom,2033,87.62167427275851,93.62459793255026,100.47100322156905,107.12518234805378,113.40801900338623,0.0277,120.0
United Kingdom,2034,86.63663463349299,92.9766462849652,100.28024648401953,107.37436623506962,114.03077746528311,0.035,120.0
