country,year,scenario,debt_gdp,domar_gap,isf_pct
United Kingdom,2025,baseline,99.07702931641829,-2.1499706835817176,6.954421590828389
United Kingdom,2026,baseline,97.03182342578485,-2.045205890633451,6.810864359635207
United Kingdom,2027,baseline,95.08627729949379,-1.9455461262910672,6.674302453409493
United Kingdom,2028,baseline,93.2355346691986,-1.8507426302951928,6.544395000632662
United Kingdom,2029,baseline,91.47497590510405,-1.7605587640945646,6.420817739935439
United Kingdom,2030,baseline,89.80020648493037,-1.6747694201736745,6.303262210710614
United Kingdom,2031,baseline,88.2070460247674,-1.5931604601629812,6.191434983166001
United Kingdom,2032,baseline,86.69151784443825,-1.5155281803291536,6.085056925895735
United Kingdom,2033,baseline,85.24983904132709,-1.4416788031111634,5.983862509141715
United Kingdom,2034,baseline,83.87841104789406,-1.3714279934330391,5.887599142006052
United Kingdom,2025,choque_juros,101.10156931641829,-0.12543068358171805,12.377224451873825
United Kingdom,2026,choque_juros,100.97974206510824,-0.12182725131005334,12.362309913513892
United Kingdom,2027,choque_juros,100.86141472495552,-0.11832734015272584,12.347823847098049
United Kingdom,2028,choque_juros,100.74648674884955,-0.11492797610597849,12.333753943280719
United Kingdom,2029,choque_juros,100.6348604782449,-0.11162627060464825,12.320088246345042
United Kingdom,2030,choque_juros,100.52644106017726,-0.10841941806764233,12.306815144043684
United Kingdom,2031,choque_juros,100.42113636666333,-0.10530469351393634,12.293923357731462
United Kingdom,2032,choque_juros,100.31885691641628,-0.10227945024705543,12.281401932781467
United Kingdom,2033,choque_juros,100.2195157988102,-0.09934111760607722,12.269240229276528
United Kingdom,2034,choque_juros,100.12302860002896,-0.09648719878124812,12.257427912968062
United Kingdom,2025,recessao,103.60770431641829,2.3807043164182824,7.272439039054454
United Kingdom,2026,recessao,105.9319181497134,2.3242138332950986,7.435580414764746
United Kingdom,2027,recessao,103.55268397916538,-2.379234170548019,7.268577047794055
United Kingdom,2028,recessao,101.28938626168456,-2.2632977174808304,7.109711500234557
United Kingdom,2029,recessao,99.13637559070297,-2.153010670981597,6.9585872285556
United Kingdom,2030,recessao,97.08827784662,-2.048097744082972,6.8148270121881
United Kingdom,2031,recessao,95.13998078248827,-1.9482970641317432,6.678072011946081
United Kingdom,2032,recessao,93.28662126335851,-1.853359519129762,6.547980874329912
United Kingdom,2033,recessao,91.52357312743183,-1.7630481359266859,6.424228879475477
United Kingdom,2034,recessao,89.84643563871941,-1.6771374887124275,6.30650713062247
