country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
United States,2025,121.66361619949052,122.99395463745631,124.54332699621864,126.04798786512418,127.37782954136667,0.9806,120.0
United States,2026,121.5129217120236,124.05602334806439,126.94525539635394,129.83306262260606,132.4708603037703,0.9479,120.0
United States,2027,120.75712009593168,124.4703554091681,128.59834501295475,132.7984147248388,136.6336225710631,0.9203,120.0
United States,2028,119.87720896735408,124.57662780074324,129.7806919629133,135.13890248442613,140.0398199601043,0.8969,120.0
United States,2029,119.21871220488002,124.86867857084026,130.88341220750107,137.20677832249373,142.8373798805824,0.8839,120.0
United States,2030,118.75472646179594,125.12205355449277,132.10335739741822,138.94188057470456,145.44135506006975,0.8788,120.0
United States,2031,118.50050797018835,125.56793168257255,133.23356079503156,140.82336992794194,147.91166986827994,0.8769,120.0
United States,2032,118.40723528387998,125.99385534192177,134.3723848878834,142.53922503398894,150.30496563536656,0.8769,120.0
United States,2033,118.38004951275951,126.505508723321,135.51539467021814,144.2142012196823,152.80897078872874,0.8763,120.0
United States,2034,118.39553530778896,127.18729164111255,136.61718055486853,145.88984352884023,154.85261100026972,0.8778,120.0
